user_id,item_id,event,rating,timestamp
u0200,r0043,visit,4.6,2024-01-15T00:21:01Z
u0078,r0075,visit,3.6,2024-01-15T01:03:19Z
u0116,r0072,view,,2024-01-15T01:16:31Z
u0195,r0055,view,,2024-01-15T02:37:18Z
u0101,r0063,visit,3.3,2024-01-15T04:49:52Z
u0050,r0091,view,,2024-01-15T05:49:48Z
u0068,r0043,view,,2024-01-15T07:32:40Z
u0091,r0052,save,,2024-01-15T09:10:03Z
u0096,r0071,save,,2024-01-15T09:11:35Z
u0158,r0077,view,,2024-01-15T09:18:02Z
u0160,r0072,view,,2024-01-15T11:46:06Z
u0109,r0023,save,,2024-01-15T12:57:45Z
u0040,r0085,view,,2024-01-15T17:15:01Z
u0160,r0082,view,,2024-01-15T18:31:59Z
u0161,r0031,view,,2024-01-15T20:16:50Z
u0119,r0057,visit,4.5,2024-01-15T21:07:54Z
u0144,r0057,view,,2024-01-15T22:53:39Z
u0045,r0057,save,,2024-01-16T00:55:23Z
u0091,r0023,view,,2024-01-16T01:58:16Z
u0170,r0029,visit,4.7,2024-01-16T02:24:24Z
u0146,r0014,view,,2024-01-16T04:30:57Z
u0110,r0001,save,,2024-01-16T05:40:18Z
u0002,r0057,save,,2024-01-16T07:58:37Z
u0190,r0077,view,,2024-01-16T10:19:13Z
u0076,r0075,view,,2024-01-16T13:18:02Z
u0204,r0073,save,,2024-01-16T14:19:33Z
u0044,r0013,save,,2024-01-16T15:39:44Z
u0061,r0087,save,,2024-01-16T16:36:46Z
u0033,r0001,visit,3.2,2024-01-16T17:51:52Z
u0201,r0031,view,,2024-01-16T22:40:21Z
u0066,r0038,visit,4.3,2024-01-16T22:52:51Z
u0047,r0012,save,,2024-01-16T23:30:02Z
u0133,r0025,view,,2024-01-17T02:57:50Z
u0043,r0043,view,,2024-01-17T03:52:24Z
u0194,r0089,view,,2024-01-17T10:39:41Z
u0195,r0035,save,,2024-01-17T11:24:03Z
u0155,r0015,save,,2024-01-17T16:21:12Z
u0188,r0058,view,,2024-01-17T18:24:59Z
u0009,r0049,view,,2024-01-17T20:31:53Z
u0027,r0015,save,,2024-01-17T20:40:22Z
